# CDC Weekly counts of deaths by state and select causes
# 2019 - 2021
# export of https://data.cdc.gov/NCHS/Weekly-Counts-of-Deaths-by-State-and-Select-Causes/muzy-jte6
# Last update 11-20-2021
# Column 1 and Columns after S of the raw CDC data removed for clarity.

Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)"
Georgia,2020,27,7/4/2020,1880,1721,31,320,64,95,11,74,34,52,23,424,86,151,129
Georgia,2020,28,7/11/2020,1983,1805,39,329,56,88,19,90,49,37,20,443,73,226,203
Georgia,2020,29,7/18/2020,2177,1978,30,380,60,101,25,81,37,35,33,418,89,300,267
Georgia,2020,30,7/25/2020,2177,1994,32,342,44,95,33,79,45,34,25,413,103,377,347
Georgia,2020,31,8/1/2020,2193,2018,30,341,54,95,27,102,38,33,33,407,94,420,387
Georgia,2020,32,8/8/2020,2192,2016,36,322,60,93,33,87,39,43,19,373,86,474,428
Georgia,2020,33,8/15/2020,2245,2082,37,352,60,99,27,90,49,42,30,436,74,427,406
Georgia,2020,34,8/22/2020,2247,2074,27,354,62,78,23,94,46,43,23,429,110,415,379
Georgia,2020,35,8/29/2020,2132,1968,37,348,54,87,30,73,44,45,31,398,89,347,324
Georgia,2020,36,9/5/2020,2044,1855,37,344,61,94,28,95,36,32,23,353,84,261,245
Georgia,2020,37,9/12/2020,2073,1875,39,335,55,80,27,90,30,47,27,405,97,262,242
Georgia,2020,38,9/19/2020,1928,1789,29,349,52,76,22,79,43,34,28,380,102,226,199
Georgia,2020,39,9/26/2020,1997,1828,27,368,58,97,27,77,46,30,19,414,99,220,201
Georgia,2020,40,10/3/2020,1926,1777,34,314,45,84,27,79,41,45,31,439,100,167,149
Georgia,2020,41,10/10/2020,1886,1739,50,351,66,95,17,69,52,35,20,402,74,167,150
Georgia,2020,42,10/17/2020,1923,1743,44,308,51,103,33,86,40,47,24,416,88,155,142
Georgia,2020,43,10/24/2020,1960,1804,31,351,50,100,21,101,49,43,22,412,98,174,159
Georgia,2020,44,10/31/2020,1944,1788,43,316,46,73,28,78,47,40,15,417,98,205,190
Georgia,2020,45,11/7/2020,2020,1848,41,335,62,75,22,105,56,38,24,406,100,216,202
Georgia,2020,46,11/14/2020,2050,1868,41,357,71,94,22,69,48,46,29,407,82,233,219
Georgia,2020,47,11/21/2020,1978,1804,47,340,53,84,16,87,38,30,22,426,90,221,207
Georgia,2020,48,11/28/2020,2070,1903,34,355,53,101,21,85,45,62,23,423,81,252,226
Georgia,2020,49,12/5/2020,2171,2025,37,355,66,96,25,97,49,39,26,458,101,295,264
Georgia,2020,50,12/12/2020,2241,2093,50,401,50,90,27,98,57,42,36,421,107,343,304
Georgia,2020,51,12/19/2020,2422,2252,44,389,68,114,32,98,44,34,21,483,107,386,346
Georgia,2020,52,12/26/2020,2379,2211,34,335,59,98,39,78,62,43,22,444,108,497,464
Georgia,2020,53,1/2/2021,2725,2533,41,339,54,116,42,108,64,42,28,492,131,687,634
Georgia,2021,1,1/9/2021,2867,2713,35,371,77,118,21,95,59,44,24,496,95,835,788
Georgia,2021,2,1/16/2021,3089,2918,41,363,78,127,38,106,43,62,29,515,113,991,920
Georgia,2021,3,1/23/2021,2949,2806,49,339,69,100,30,104,50,51,25,531,123,930,871
Georgia,2021,4,1/30/2021,2763,2595,46,348,80,94,34,92,73,55,29,437,98,880,804
Georgia,2021,5,2/6/2021,2708,2513,41,335,49,102,26,98,63,51,27,480,126,721,668
Georgia,2021,6,2/13/2021,2377,2198,37,365,52,87,33,87,52,35,32,442,119,483,448
Georgia,2021,7,2/20/2021,2278,2096,31,362,51,92,41,90,33,51,23,428,89,408,368
Georgia,2021,8,2/27/2021,2100,1929,39,333,61,80,33,76,47,48,13,429,93,316,278
Georgia,2021,9,3/6/2021,1933,1760,26,343,65,71,16,85,41,38,19,377,87,256,226
Georgia,2021,10,3/13/2021,1986,1798,45,340,56,71,25,79,43,40,25,411,103,185,151
Georgia,2021,11,3/20/2021,1912,1722,37,327,60,88,26,90,36,29,17,409,91,173,142
Georgia,2021,12,3/27/2021,1878,1697,35,343,57,76,24,90,37,34,20,421,91,119,103
Georgia,2021,13,4/3/2021,1748,1589,20,324,52,75,22,97,39,38,21,363,80,138,120
Georgia,2021,14,4/10/2021,1941,1777,25,386,66,94,31,85,30,45,27,384,120,124,106
Georgia,2021,15,4/17/2021,1874,1693,27,371,35,66,21,89,56,37,30,392,100,124,97
Georgia,2021,16,4/24/2021,1880,1695,38,372,52,68,18,96,40,32,16,390,96,119,94
Georgia,2021,17,5/1/2021,1815,1640,30,322,46,81,14,79,40,51,28,379,94,111,90
Georgia,2021,18,5/8/2021,1806,1624,33,338,44,69,20,73,41,44,27,372,95,111,91
Georgia,2021,19,5/15/2021,1767,1581,31,304,54,60,15,90,46,54,23,366,114,71,63
Georgia,2021,20,5/22/2021,1870,1670,30,349,39,76,20,73,50,44,22,393,107,88,79
Georgia,2021,21,5/29/2021,1867,1688,41,366,45,73,14,84,48,39,29,400,113,80,71
Georgia,2021,22,6/5/2021,1751,1574,34,356,46,74,13,83,27,42,28,373,93,67,55
Georgia,2021,23,6/12/2021,1753,1593,25,335,57,76,22,93,35,38,34,364,84,68,56
Georgia,2021,24,6/19/2021,1696,1513,32,321,48,88,20,77,49,43,26,343,101,43,38
Georgia,2021,25,6/26/2021,1735,1566,32,382,48,76,18,99,42,22,25,364,101,40,27
Georgia,2021,26,7/3/2021,1740,1573,35,356,48,79,21,93,33,44,30,394,87,40,29
Georgia,2021,27,7/10/2021,1739,1578,23,350,43,71,23,83,38,46,30,397,92,39,28
Georgia,2021,28,7/17/2021,1700,1549,33,336,48,77,25,86,40,44,22,379,95,51,42
Georgia,2021,29,7/24/2021,1774,1613,31,372,50,70,21,92,42,44,22,345,88,77,66
Georgia,2021,30,7/31/2021,1907,1733,38,391,60,75,32,87,35,50,34,359,83,119,106
Georgia,2021,31,8/7/2021,2001,1844,37,347,44,83,30,85,39,45,30,403,100,255,238
Georgia,2021,32,8/14/2021,2278,2132,34,367,60,93,22,88,35,45,32,429,98,474,450
Georgia,2021,33,8/21/2021,2455,2337,30,344,63,100,26,88,46,43,37,414,92,684,655
Georgia,2021,34,8/28/2021,2732,2590,47,361,65,100,20,101,41,47,43,456,94,863,811
Georgia,2021,35,9/4/2021,2807,2647,28,348,66,89,33,103,42,46,43,455,89,980,924
Georgia,2021,36,9/11/2021,2832,2661,41,362,68,83,34,102,40,51,48,440,108,943,890
Georgia,2021,37,9/18/2021,2676,2529,35,306,73,75,29,92,47,53,37,431,106,899,858
Georgia,2021,38,9/25/2021,2524,2362,48,328,53,75,21,105,43,53,41,409,106,756,713
Georgia,2021,39,10/2/2021,2197,2029,38,329,50,93,22,72,52,45,37,359,76,572,545
Georgia,2021,40,10/9/2021,1919,1717,25,312,41,75,15,68,31,30,36,317,89,455,431
Georgia,2021,41,10/16/2021,1768,1510,31,294,42,71,26,75,34,32,21,349,89,310,289
Georgia,2021,42,10/23/2021,1552,1205,27,300,44,71,14,79,26,34,31,298,65,237,218
Georgia,2021,43,10/30/2021,1205,779,18,206,32,59,15,68,25,27,23,253,58,147,139
Georgia,2021,44,11/6/2021,696,218,15,108,10,39,17,37,20,15,13,160,42,67,60
Hawaii,2020,1,1/4/2020,242,222,,33,,,12,10,,,,67,18,0,0
Hawaii,2020,2,1/11/2020,242,221,,40,,,,,,,,54,15,0,0
Hawaii,2020,3,1/18/2020,215,200,,39,10,12,,,,,,44,19,0,0
Hawaii,2020,4,1/25/2020,242,224,,42,10,12,,10,,,,58,16,0,0
Hawaii,2020,5,2/1/2020,242,226,,41,,,,,,,,71,23,0,0
Hawaii,2020,6,2/8/2020,236,217,,45,,,,,,,0,57,13,0,0
Hawaii,2020,7,2/15/2020,281,257,,54,13,,12,10,,,,58,14,0,0
Hawaii,2020,8,2/22/2020,250,230,,43,,,,11,,,,72,17,0,0
Hawaii,2020,9,2/29/2020,238,217,,48,,,,,,,,63,11,0,0
Hawaii,2020,10,3/7/2020,239,217,,49,,12,,,,,,63,16,0,0
Hawaii,2020,11,3/14/2020,243,229,,52,,18,,,,,,57,10,0,0
Hawaii,2020,12,3/21/2020,212,191,,42,,11,,13,,,,40,14,0,0
Hawaii,2020,13,3/28/2020,235,216,,62,,11,11,11,,,0,53,10,0,0
Hawaii,2020,14,4/4/2020,235,215,,47,,12,,10,,,,55,18,,
Hawaii,2020,15,4/11/2020,221,217,,60,,12,,,,,,45,17,,
Hawaii,2020,16,4/18/2020,211,193,0,52,,13,,,,,,38,26,,
Hawaii,2020,17,4/25/2020,200,186,,53,,,,,,,,37,11,,
Hawaii,2020,18,5/2/2020,223,200,,49,,13,,,,,,42,12,,
Hawaii,2020,19,5/9/2020,210,183,,46,,,,10,,,,36,17,0,0
Hawaii,2020,20,5/16/2020,230,211,,55,,10,,,,,0,37,24,0,0
Hawaii,2020,21,5/23/2020,210,194,,35,,11,,12,,,,52,18,0,0
Hawaii,2020,22,5/30/2020,200,188,,52,,10,,,,,,45,17,0,0
Hawaii,2020,23,6/6/2020,217,200,,48,,13,,,,,,59,12,0,0
Hawaii,2020,24,6/13/2020,203,184,,40,,,,,,,,46,15,0,0
Hawaii,2020,25,6/20/2020,246,227,,50,,13,,12,,,,44,18,0,0
Hawaii,2020,26,6/27/2020,236,224,,58,,17,,,,,,50,12,,
Hawaii,2020,27,7/4/2020,207,182,0,50,,10,,,,,,38,15,,
Hawaii,2020,28,7/11/2020,239,219,,55,,10,,,,,,56,26,,0
Hawaii,2020,29,7/18/2020,227,211,,62,,15,,,,,,39,12,,
Hawaii,2020,30,7/25/2020,219,204,,46,,,,,,,,52,14,,
Hawaii,2020,31,8/1/2020,217,199,,59,,,,,,,,50,15,,0
Hawaii,2020,32,8/8/2020,231,208,,45,,11,,,,,,56,20,,
Hawaii,2020,33,8/15/2020,223,209,,40,10,,,,,,,49,15,13,
Hawaii,2020,34,8/22/2020,242,224,0,46,,13,,,,,,54,19,14,14
Hawaii,2020,35,8/29/2020,255,231,,49,,18,,,,,,48,10,35,31
Hawaii,2020,36,9/5/2020,235,218,,44,,10,,,,,,48,20,31,28
Hawaii,2020,37,9/12/2020,274,256,0,62,,18,,,,,,47,23,34,31
Hawaii,2020,38,9/19/2020,242,225,,48,,11,,,,,,44,12,32,29
Hawaii,2020,39,9/26/2020,242,226,,48,,11,,,,,,44,15,26,24
Hawaii,2020,40,10/3/2020,214,197,,38,,,,,,,,42,10,20,18
Hawaii,2020,41,10/10/2020,231,214,,42,,,,,,,0,51,13,20,19
Hawaii,2020,42,10/17/2020,237,221,,49,,14,,,,,,42,20,18,17
Hawaii,2020,43,10/24/2020,237,213,,54,,13,,,,,,46,11,14,13
Hawaii,2020,44,10/31/2020,238,217,,53,,,,,,,,45,13,11,10
Hawaii,2020,45,11/7/2020,236,223,,44,,,,,,,,65,20,,
Hawaii,2020,46,11/14/2020,249,226,0,58,,15,,,,,,50,18,,
Hawaii,2020,47,11/21/2020,224,217,,52,,12,,,,,,47,15,,
Hawaii,2020,48,11/28/2020,216,194,,40,,10,,,0,,,49,17,,
Hawaii,2020,49,12/5/2020,237,216,,46,,11,,,,,,62,11,13,13
Hawaii,2020,50,12/12/2020,212,200,,35,,12,,,,,,54,21,,
Hawaii,2020,51,12/19/2020,249,234,,51,,,,10,,,,61,24,,
Hawaii,2020,52,12/26/2020,198,174,,34,,,,,,,,45,11,,
Hawaii,2020,53,1/2/2021,225,199,,54,,,,,,,,42,11,,
Hawaii,2021,1,1/9/2021,215,192,,49,,,,,,,,37,14,,
Hawaii,2021,2,1/16/2021,247,229,,53,,,,,,,,35,17,12,11
Hawaii,2021,3,1/23/2021,205,194,,41,10,,,,,,,48,11,14,13
Hawaii,2021,4,1/30/2021,228,210,,43,,,,15,,,0,50,15,10,
Hawaii,2021,5,2/6/2021,237,217,,38,12,11,,,,,,57,23,,
Hawaii,2021,6,2/13/2021,265,244,,56,10,,,,,,,57,20,,
Hawaii,2021,7,2/20/2021,251,225,0,47,,,,,,,,54,27,,
Hawaii,2021,8,2/27/2021,262,238,,61,,13,,,,,,64,14,,
Hawaii,2021,9,3/6/2021,231,214,,49,,,,,,,0,64,11,,
Hawaii,2021,10,3/13/2021,253,232,,43,,11,,,,,,71,18,,
Hawaii,2021,11,3/20/2021,234,213,,55,,,,,,,,47,13,,
Hawaii,2021,12,3/27/2021,241,220,,39,,15,,,,11,,59,18,,
Hawaii,2021,13,4/3/2021,250,230,,41,,14,,,,,,56,22,,
Hawaii,2021,14,4/10/2021,249,232,0,52,11,11,,10,,,,50,16,,
Hawaii,2021,15,4/17/2021,217,204,,51,,,,,,,,46,10,,
Hawaii,2021,16,4/24/2021,252,238,,56,,17,,,,,,53,19,,
Hawaii,2021,17,5/1/2021,234,216,0,48,,13,,11,,,,54,17,,
Hawaii,2021,18,5/8/2021,237,219,,45,,13,,10,,,,48,17,,
Hawaii,2021,19,5/15/2021,230,211,,62,,,,,,,,52,20,,
Hawaii,2021,20,5/22/2021,253,238,,53,,12,,14,,,,53,17,,
Hawaii,2021,21,5/29/2021,211,191,,50,,,,,,,,54,11,,
Hawaii,2021,22,6/5/2021,209,190,,43,,15,0,,,,,34,18,,
Hawaii,2021,23,6/12/2021,222,203,,49,,14,,,,,,42,22,,
Hawaii,2021,24,6/19/2021,231,212,,53,,14,,,,,,46,16,,
Hawaii,2021,25,6/26/2021,226,217,,41,11,11,,,,,,55,16,,
Hawaii,2021,26,7/3/2021,210,194,,43,,12,,,,,,49,21,,
Hawaii,2021,27,7/10/2021,234,210,,51,11,,,,,,,41,17,,
Hawaii,2021,28,7/17/2021,236,217,,54,,,,,,,,60,18,,
Hawaii,2021,29,7/24/2021,226,204,,38,,13,,,,,16,54,17,,
Hawaii,2021,30,7/31/2021,232,218,,49,,,,,,,10,34,20,,
Hawaii,2021,31,8/7/2021,215,204,,49,,10,,,0,,,47,15,17,15
Hawaii,2021,32,8/14/2021,278,257,,51,,13,,,,,12,54,26,24,23
Hawaii,2021,33,8/21/2021,302,281,,48,,11,,,,,19,60,16,33,33
Hawaii,2021,34,8/28/2021,314,301,,44,13,17,,,,,10,70,21,52,48
Hawaii,2021,35,9/4/2021,301,294,,39,,13,,11,,,13,57,17,57,52
Hawaii,2021,36,9/11/2021,311,297,,42,,12,,,,,26,54,19,61,60
Hawaii,2021,37,9/18/2021,265,258,,37,,,,,,,35,46,20,51,46
Hawaii,2021,38,9/25/2021,310,298,,59,,,,,,,25,49,23,47,44
Hawaii,2021,39,10/2/2021,258,246,,50,10,13,,,,,31,39,16,35,32
Hawaii,2021,40,10/9/2021,257,242,,60,,11,,10,,,35,41,,17,16
Hawaii,2021,41,10/16/2021,244,226,,43,,,,,,,35,35,17,23,21
Hawaii,2021,42,10/23/2021,231,200,,57,,,,,,,33,35,18,16,15
Hawaii,2021,43,10/30/2021,195,148,,33,,,,,,,32,37,13,13,10
Hawaii,2021,44,11/6/2021,144,64,,23,,,,,,,42,18,13,,
Idaho,2020,1,1/4/2020,278,255,,68,,14,,19,,,,44,13,0,0
Idaho,2020,2,1/11/2020,292,270,,71,11,11,,25,,,,58,15,0,0
Idaho,2020,3,1/18/2020,293,268,,59,12,12,,24,,,,65,13,0,0
Idaho,2020,4,1/25/2020,275,247,,51,12,11,,21,,,,57,19,0,0
Idaho,2020,5,2/1/2020,249,223,0,44,,,,19,,,,56,15,0,0
Idaho,2020,6,2/8/2020,292,264,,50,12,12,,18,,,,63,16,0,0
Idaho,2020,7,2/15/2020,279,251,,48,,11,,16,,,,63,16,0,0
Idaho,2020,8,2/22/2020,318,290,,64,12,12,,20,,,,69,13,0,0
Idaho,2020,9,2/29/2020,290,269,,67,,15,,20,,,,58,15,0,0
Idaho,2020,10,3/7/2020,278,258,0,66,10,,,14,,,,61,10,0,0
Idaho,2020,11,3/14/2020,282,254,0,52,,16,,22,,,,64,13,0,0
Idaho,2020,12,3/21/2020,308,279,,66,,11,,17,0,,,69,10,0,0
Idaho,2020,13,3/28/2020,332,303,,64,13,20,,20,,,,61,18,,
Idaho,2020,14,4/4/2020,271,249,,51,,19,11,,,,,60,11,,
Idaho,2020,15,4/11/2020,306,284,,63,10,15,,19,,,,53,12,22,21
Idaho,2020,16,4/18/2020,283,256,,56,10,18,0,17,,,,48,16,12,12
Idaho,2020,17,4/25/2020,262,241,0,51,,10,,20,,,,63,10,12,12
Idaho,2020,18,5/2/2020,252,225,,50,,,,17,,,,65,10,,
Idaho,2020,19,5/9/2020,304,269,0,72,10,17,,13,,,,52,16,,
Idaho,2020,20,5/16/2020,269,239,,50,,,,15,,,,50,12,,
Idaho,2020,21,5/23/2020,262,236,,40,13,,,14,,,,47,13,,
Idaho,2020,22,5/30/2020,279,245,,61,,10,,18,0,,,64,14,,
Idaho,2020,23,6/6/2020,294,261,,71,,11,,16,,,,76,13,,
Idaho,2020,24,6/13/2020,286,265,,57,,16,,12,,,,68,14,,
Idaho,2020,25,6/20/2020,282,248,,56,,13,,18,,,,62,14,0,0
Idaho,2020,26,6/27/2020,296,259,,61,14,15,,19,,,0,53,11,,
Idaho,2020,27,7/4/2020,281,246,,47,,,,20,,,,69,17,,
Idaho,2020,28,7/11/2020,287,249,,41,14,12,,,,,,63,17,15,15
Idaho,2020,29,7/18/2020,312,276,,59,,12,,15,,,,57,15,26,22
Idaho,2020,30,7/25/2020,328,298,,61,,12,,13,,,0,62,17,45,44
Idaho,2020,31,8/1/2020,327,301,,52,15,17,,19,,,,70,,50,46
Idaho,2020,32,8/8/2020,312,281,,65,10,12,,14,,,,47,14,40,35
Idaho,2020,33,8/15/2020,319,287,,38,12,17,,19,,,,74,15,33,33
Idaho,2020,34,8/22/2020,360,319,,68,,19,,13,,,,55,21,57,55
Idaho,2020,35,8/29/2020,327,289,0,60,13,13,,15,,,,62,14,28,25
Idaho,2020,36,9/5/2020,352,323,,62,,15,,12,,,,76,20,38,30
Idaho,2020,37,9/12/2020,321,295,0,65,,23,,20,,,0,63,17,25,23
Idaho,2020,38,9/19/2020,320,288,,61,,20,0,17,,,,62,17,18,13
Idaho,2020,39,9/26/2020,292,261,,50,15,16,,,,,,54,14,25,24
Idaho,2020,40,10/3/2020,328,296,,59,,13,,21,,,,66,12,31,26
Idaho,2020,41,10/10/2020,300,264,,59,,13,0,12,0,,,57,17,25,20
Idaho,2020,42,10/17/2020,326,305,,52,,16,,16,,,,69,17,37,28
Idaho,2020,43,10/24/2020,341,315,,62,,15,,19,,,,69,11,42,39
Idaho,2020,44,10/31/2020,351,314,,50,10,18,,22,,,,65,11,69,63
Idaho,2020,45,11/7/2020,365,336,0,58,,16,,14,,,,63,18,76,65
Idaho,2020,46,11/14/2020,410,374,0,61,,25,,18,,,,71,,83,77
Idaho,2020,47,11/21/2020,391,364,,53,11,19,,13,0,,,67,18,91,82
Idaho,2020,48,11/28/2020,424,401,,81,14,23,,11,,,,76,16,99,80
Idaho,2020,49,12/5/2020,397,379,,56,,16,,24,,,,53,19,128,112
Idaho,2020,50,12/12/2020,373,345,,52,12,18,,11,,,,54,19,99,85
Idaho,2020,51,12/19/2020,394,360,,50,11,16,,14,,,,57,17,101,91
Idaho,2020,52,12/26/2020,390,353,,63,11,20,,13,,,,55,23,98,85
Idaho,2020,53,1/2/2021,349,323,0,58,,13,,17,,,,64,12,81,69
Idaho,2021,1,1/9/2021,389,356,,61,15,20,,15,,,,74,,78,68
Idaho,2021,2,1/16/2021,341,313,,66,12,14,,20,,,,63,11,55,44
Idaho,2021,3,1/23/2021,339,316,,59,,14,,16,,,,65,19,64,52
Idaho,2021,4,1/30/2021,284,260,,52,,16,,11,,,,63,11,41,34
Idaho,2021,5,2/6/2021,328,295,,64,,15,,10,,,,58,17,39,31
Idaho,2021,6,2/13/2021,305,274,,58,10,14,,16,,,,58,22,25,19
Idaho,2021,7,2/20/2021,298,273,,60,,10,,17,,,,79,,28,17
Idaho,2021,8,2/27/2021,302,269,0,56,12,10,,13,11,,0,59,18,25,21
Idaho,2021,9,3/6/2021,307,278,,60,,13,,18,,,,66,14,23,18
Idaho,2021,10,3/13/2021,310,288,,69,14,15,,15,,,,69,10,13,11
Idaho,2021,11,3/20/2021,292,275,,62,10,14,0,,,,,65,16,17,
Idaho,2021,12,3/27/2021,300,266,,60,,10,,21,,,0,63,12,12,
Idaho,2021,13,4/3/2021,322,287,,50,10,14,,18,,11,,72,18,21,16
Idaho,2021,14,4/10/2021,342,317,,59,,14,,23,,,,76,15,27,20
Idaho,2021,15,4/17/2021,278,253,,55,,,,18,,,,62,10,23,16
Idaho,2021,16,4/24/2021,281,256,,55,12,14,,19,,,,53,19,15,12
Idaho,2021,17,5/1/2021,274,235,,57,16,,,16,,,,47,12,12,10
Idaho,2021,18,5/8/2021,274,246,,54,17,,0,10,,,,56,11,12,10
Idaho,2021,19,5/15/2021,288,264,0,50,,20,,19,,,,60,12,21,17
Idaho,2021,20,5/22/2021,326,286,,66,10,15,,18,,,,64,12,17,12
Idaho,2021,21,5/29/2021,322,285,,75,,11,0,16,,,,60,17,16,15
Idaho,2021,22,6/5/2021,292,253,,59,,11,,18,,,,62,15,11,
Idaho,2021,23,6/12/2021,323,288,,56,14,13,,21,,,,65,19,15,13
Idaho,2021,24,6/19/2021,314,274,,65,10,17,,13,,,,63,12,11,10
Idaho,2021,25,6/26/2021,294,256,,57,14,15,,20,,,,49,18,14,12
Idaho,2021,26,7/3/2021,313,283,,57,14,16,,19,,,11,63,,,
Idaho,2021,27,7/10/2021,290,254,,52,10,11,,13,,,,54,14,,
Idaho,2021,28,7/17/2021,299,279,,49,12,19,0,17,,,,64,16,10,10
Idaho,2021,29,7/24/2021,322,294,,62,12,18,,16,,,12,50,18,18,17
Idaho,2021,30,7/31/2021,336,304,,69,,17,,19,,,,57,15,20,18
Idaho,2021,31,8/7/2021,334,302,,51,,11,,20,,,,75,,31,27
Idaho,2021,32,8/14/2021,330,303,,53,13,20,,17,,,10,57,15,42,38
Idaho,2021,33,8/21/2021,347,313,,70,,,,13,,,15,64,14,45,44
Idaho,2021,34,8/28/2021,362,329,,50,,14,,14,,,,59,17,76,69
Idaho,2021,35,9/4/2021,410,377,,56,23,16,,18,,,14,61,14,90,88
Idaho,2021,36,9/11/2021,397,369,,48,17,18,,,,,10,57,11,112,108
Idaho,2021,37,9/18/2021,466,443,,58,,21,,19,,,17,77,16,150,136
Idaho,2021,38,9/25/2021,514,506,,61,14,25,,19,,,35,70,23,177,166
Idaho,2021,39,10/2/2021,505,474,,62,11,16,,20,,,21,65,15,189,176
Idaho,2021,40,10/9/2021,495,464,,55,14,20,,20,,,22,57,17,173,161
Idaho,2021,41,10/16/2021,468,439,,69,13,21,,22,,,18,72,15,136,123
Idaho,2021,42,10/23/2021,442,376,,67,14,14,,21,,,20,70,12,120,106
Idaho,2021,43,10/30/2021,369,276,,35,,20,,17,,,17,63,10,118,112
Idaho,2021,44,11/6/2021,261,81,,43,,10,,17,,,15,39,,65,56
Illinois,2020,1,1/4/2020,2191,2007,29,427,57,74,46,106,43,57,24,520,119,0,0
Illinois,2020,2,1/11/2020,2252,2080,47,477,65,93,57,131,27,43,21,511,131,0,0
Illinois,2020,3,1/18/2020,2231,2065,30,476,59,94,62,116,39,70,21,489,140,0,0
Illinois,2020,4,1/25/2020,2199,2033,33,447,72,87,55,110,21,51,17,519,137,0,0
Illinois,2020,5,2/1/2020,2137,1984,33,450,61,76,72,120,26,60,26,482,131,0,0
Illinois,2020,6,2/8/2020,2232,2053,25,449,63,74,52,117,32,58,30,543,116,0,0
Illinois,2020,7,2/15/2020,2216,2054,32,451,59,88,61,117,32,60,19,525,130,0,0
Illinois,2020,8,2/22/2020,2207,2052,36,460,65,82,63,118,40,55,15,504,117,0,0
Illinois,2020,9,2/29/2020,2209,2022,34,460,56,86,62,110,36,49,26,538,115,0,0
Illinois,2020,10,3/7/2020,2254,2081,40,466,67,73,93,134,27,53,18,524,120,0,0
Illinois,2020,11,3/14/2020,2191,2020,34,455,54,75,87,99,38,61,22,530,127,,
Illinois,2020,12,3/21/2020,2283,2102,36,472,48,102,84,128,33,57,32,509,119,14,14
Illinois,2020,13,3/28/2020,2304,2159,28,448,71,111,81,129,40,55,21,489,130,73,72
Illinois,2020,14,4/4/2020,2622,2441,33,478,72,103,77,125,31,62,21,544,108,299,293
Illinois,2020,15,4/11/2020,2870,2670,32,469,90,96,54,125,24,59,20,601,135,469,459
Illinois,2020,16,4/18/2020,2912,2739,22,459,84,104,74,123,28,60,20,538,131,591,569
Illinois,2020,17,4/25/2020,3010,2829,21,453,63,95,50,111,33,48,30,565,135,677,657
Illinois,2020,18,5/2/2020,2952,2763,26,444,66,107,51,118,26,47,16,533,134,741,703
Illinois,2020,19,5/9/2020,2962,2748,29,424,64,86,51,101,30,48,24,522,134,789,756
Illinois,2020,20,5/16/2020,2865,2676,30,469,76,81,37,88,30,59,19,493,122,699,671
Illinois,2020,21,5/23/2020,2638,2476,41,455,61,81,48,90,33,51,22,507,133,574,539
Illinois,2020,22,5/30/2020,2547,2316,20,438,65,80,34,114,21,49,30,479,109,470,443
Illinois,2020,23,6/6/2020,2511,2252,38,449,70,76,25,81,31,38,18,477,118,430,400
Illinois,2020,24,6/13/2020,2270,2086,18,426,64,79,27,88,21,41,24,472,111,319,294
Illinois,2020,25,6/20/2020,2255,2041,20,400,51,85,26,90,15,49,23,491,127,270,235
Illinois,2020,26,6/27/2020,2134,1929,35,426,65,78,30,87,27,53,19,463,108,150,130
Illinois,2020,27,7/4/2020,2182,1974,31,427,47,82,35,91,26,44,17,462,130,147,132
Illinois,2020,28,7/11/2020,2189,1950,36,430,62,83,37,87,23,43,37,483,109,111,100
Illinois,2020,29,7/18/2020,2087,1904,23,466,57,74,28,73,19,43,33,462,119,89,80
Illinois,2020,30,7/25/2020,2034,1826,22,425,65,64,27,79,15,38,24,465,112,82,75
Illinois,2020,31,8/1/2020,2071,1889,28,441,65,89,31,60,25,35,22,459,125,90,82
Illinois,2020,32,8/8/2020,2138,1963,37,440,56,82,38,94,18,40,18,485,105,98,85
Illinois,2020,33,8/15/2020,2126,1927,34,471,53,64,35,91,16,38,26,476,105,104,86
Illinois,2020,34,8/22/2020,2151,1944,39,437,77,76,28,82,26,67,23,453,128,98,81
Illinois,2020,35,8/29/2020,2120,1915,22,445,58,67,26,72,21,40,19,501,113,132,122
Illinois,2020,36,9/5/2020,2198,1999,37,422,65,88,33,91,26,39,30,513,115,119,103
Illinois,2020,37,9/12/2020,2080,1873,19,412,49,82,18,86,24,44,26,457,133,119,96
Illinois,2020,38,9/19/2020,2080,1889,30,412,69,84,37,91,21,29,23,470,110,131,104
Illinois,2020,39,9/26/2020,2295,2095,27,481,65,73,39,92,30,43,25,489,135,142,119
Illinois,2020,40,10/3/2020,2138,1942,25,450,59,79,39,90,23,36,25,467,121,150,117
Illinois,2020,41,10/10/2020,2333,2161,26,434,72,86,40,85,31,42,22,523,133,189,155
Illinois,2020,42,10/17/2020,2281,2094,25,409,61,93,39,100,29,38,20,500,122,229,190
Illinois,2020,43,10/24/2020,2290,2114,32,417,66,99,40,88,23,44,24,476,123,266,220
